category	mir	disease	pmid	root_name	doid	icd10cm	mesh	omim	hpo	description
circulation_biomarker_diagnosis_down	hsa-mir-210	Acute Cerebral Infarction	25476086	cardiovascular system disease	DOID:3526	I63	D002544			The serum level of miR-210 in ACI was significantly lower than that in normal healthy persons, and it may be an important new serological marker in screening and diagnosis of ACI.
circulation_biomarker_diagnosis_down	hsa-mir-126	Acute Heart Failure	26580972			I50				Levels of miR-126  and miR-423-5p were lower in AHF and in non-AHF patients compared to stable CHF patients (both p<0.001).
circulation_biomarker_diagnosis_down	hsa-mir-27a	Acute Heart Failure	26569364			I50				The increase in creatinine during the first 3 days of hospitalization was significantly associated with lower levels of miR-199a-3p, miR-27a-3p, miR-652-3p, miR-423-5p, and miR-let-7i-5p
circulation_biomarker_diagnosis_down	hsa-mir-335	Acute Ischemic Stroke	27856935	cardiovascular system disease	DOID:224	I63.9	D002546		HP:0002140	Decreased plasma miR-335 expression in patients with acute ischemic stroke and its association with calmodulin expression.
circulation_biomarker_diagnosis_down	hsa-mir-214	Acute Myocardial Infarction	25931214	cardiovascular system disease	DOID:9408	I21	D056989	608446	HP:0001658	The circulating level of miR-214 was significantly decreased in the AMI group, which might be correlated with the extent of the coronary lesion.Circulating miR-214 may be a promising biomarker for the diagnosis and prognosis of severe AMI.
circulation_biomarker_diagnosis_down	hsa-mir-181a	Allergic Rhinitis	27199509	respiratory system disease	DOID:4481	J30.9	D065631	607154	HP:0003193	The OPN protein and miR-181a levels may serve as predictors of disease severity in childhood AR and appear to be promising targets for modulating AR.
circulation_biomarker_diagnosis_down	hsa-let-7f	Alzheimer Disease	23895045	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	A blood based 12-miRNA signature of Alzheimer disease patients.
circulation_biomarker_diagnosis_down	hsa-mir-1285	Alzheimer Disease	23895045	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	A blood based 12-miRNA signature of Alzheimer disease patients.
circulation_biomarker_diagnosis_down	hsa-mir-107	Alzheimer Disease	23895045	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	A blood based 12-miRNA signature of Alzheimer disease patients.
circulation_biomarker_diagnosis_down	hsa-mir-103a	Alzheimer Disease	23895045	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	A blood based 12-miRNA signature of Alzheimer disease patients.
circulation_biomarker_diagnosis_down	hsa-mir-26b	Alzheimer Disease	23895045	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	A blood based 12-miRNA signature of Alzheimer disease patients.
circulation_biomarker_diagnosis_down	hsa-mir-26a	Alzheimer Disease	23895045	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	A blood based 12-miRNA signature of Alzheimer disease patients.
circulation_biomarker_diagnosis_down	hsa-mir-532	Alzheimer Disease	23895045	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	A blood based 12-miRNA signature of Alzheimer disease patients.
circulation_biomarker_diagnosis_down	hsa-mir-143	Alzheimer Disease	26078483	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	The results showed that four miRNAs (miR-31, miR-93, miR-143, and miR-146a) were markedly decreased in AD patients'serum compared with controls.
circulation_biomarker_diagnosis_down	hsa-mir-146a	Alzheimer Disease	26078483	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	The results showed that four miRNAs (miR-31, miR-93, miR-143, and miR-146a) were markedly decreased in AD patients'serum compared with controls.
circulation_biomarker_diagnosis_down	hsa-mir-31	Alzheimer Disease	26078483	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	The results showed that four miRNAs (miR-31, miR-93, miR-143, and miR-146a) were markedly decreased in AD patients'serum compared with controls.
circulation_biomarker_diagnosis_down	hsa-mir-590	Alzheimer Disease	21548758	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	Decreased relative expression levels of hsa-miR-590-3p in blood cells was observed in patients with AD versus controls. hnRNP-A1 and its transcription regulatory factor miR-590-3p are disregulated in patients with AD, and the hnRNP-A1 rs7967622 C/C genotype is likely a risk factor for FTLD in male populations.
circulation_biomarker_diagnosis_down	hsa-mir-93	Alzheimer Disease	26078483	nervous system disease	DOID:10652	G30.9	D000544	104300	HP:0002511	The results showed that four miRNAs (miR-31, miR-93, miR-143, and miR-146a) were markedly decreased in AD patients'serum compared with controls.
circulation_biomarker_diagnosis_down	hsa-mir-4505	Anxiety Disorders	27423364	disease of mental health	DOID:2030	F41.9	D001008	607834	HP:0000739	Results showed that the level of miR-4505 and miR-663 was negatively correlated with the  total HAMA scores in GAD patients (r=0.2228, r=0.264 P<0.05).
circulation_biomarker_diagnosis_down	hsa-mir-663	Anxiety Disorders	27423364	disease of mental health	DOID:2030	F41.9	D001008	607834	HP:0000739	esults showed that the level of miR-4505 and miR-663 was negatively correlated with the  total HAMA scores in GAD patients (r=0.2228, r=0.264 P<0.05).
circulation_biomarker_diagnosis_down	hsa-mir-106a	Aortic Stenosis	27129184	cardiovascular system disease	DOID:1712	I35.0	D001024	109730	HP:0001650	Levels of miR-30c were higher in the AS group than in the controls (P<0.01), whereas levels of miR-106a, miR-148a, miR-204, miR-211, miR-31 and miR-424 were lower in the AS group than in the controls (P<0.01).
circulation_biomarker_diagnosis_down	hsa-mir-148a	Aortic Stenosis	27129184	cardiovascular system disease	DOID:1712	I35.0	D001024	109730	HP:0001650	Levels of miR-30c were higher in the AS group than in the controls (P<0.01), whereas levels of miR-106a, miR-148a, miR-204, miR-211, miR-31 and miR-424 were lower in the AS group than in the controls (P<0.01).
circulation_biomarker_diagnosis_down	hsa-mir-204	Aortic Stenosis	27129184	cardiovascular system disease	DOID:1712	I35.0	D001024	109730	HP:0001650	Levels of miR-30c were higher in the AS group than in the controls (P<0.01), whereas levels of miR-106a, miR-148a, miR-204, miR-211, miR-31 and miR-424 were lower in the AS group than in the controls (P<0.01).
circulation_biomarker_diagnosis_down	hsa-mir-211	Aortic Stenosis	27129184	cardiovascular system disease	DOID:1712	I35.0	D001024	109730	HP:0001650	Levels of miR-30c were higher in the AS group than in the controls (P<0.01), whereas levels of miR-106a, miR-148a, miR-204, miR-211, miR-31 and miR-424 were lower in the AS group than in the controls (P<0.01).
