category	mir	disease	pmid	root_name	doid	icd10cm	mesh	omim	hpo	description
epigenetics	hsa-mir-31	Adenocarcinoma, Colon	24752710	disease of cellular proliferation	DOID:234	C18			HP:0040276	MicroRNA-31 expression in relation to BRAF mutation, CpG island methylation and colorectal continuum in serrated lesions.
epigenetics	hsa-mir-106b	Adenocarcinoma, Esophageal	28049580	disease of cellular proliferation	DOID:4914		C562730	133239		Epigenetic regulation on the gene expression signature in esophagus adenocarcinoma.
epigenetics	hsa-mir-193b	Adenocarcinoma, Esophageal	27176876	disease of cellular proliferation	DOID:4914		C562730	133239		Aberrant methylation of microRNA-193b in human Barrett's esophagus and esophageal adenocarcinoma
epigenetics	hsa-mir-145	Adenocarcinoma, Lung	26582602	disease of cellular proliferation	DOID:3910	C78.00	C538231	211980	HP:0030078	Taken together, DNA hyper-methylation in the miR-145 promoter region reduced its expression in LAC and miR-145 expression level might serve as a novel prognostic biomarker.
epigenetics	hsa-mir-615	Adenocarcinoma, Pancreatic Ductal	24769899	disease of cellular proliferation	DOID:3498	C25.3	D021441	260350		miR-615-5p is epigenetically inactivated and functions as a tumor suppressor in pancreatic ductal adenocarcinoma.
epigenetics	hsa-mir-10a	Atherosclerosis	26148682	cardiovascular system disease	DOID:1936	I70	D050197	108725	HP:0002621	Methylation-specific PCR (MSP) confirmed differential CpG methylation of HOXA genes, the ER stress gene ATF4, inflammatory regulator microRNA-10a and ARHGAP25 that encodes a negative regulator of Rho GTPases involved in cytoskeleton remodeling.
epigenetics	hsa-mir-10b	Atherosclerosis	28601079	cardiovascular system disease	DOID:1936	I70	D050197	108725	HP:0002621	Variability of Methylation Profiles of CpG Sites in microrNA Genes in Leukocytes and Vascular Tissues of Patients with Atherosclerosis.
epigenetics	hsa-mir-152	Atherosclerosis	22295098	cardiovascular system disease	DOID:1936	I70	D050197	108725	HP:0002621	MicroRNA-152 mediates DNMT1-regulated DNA methylation in the estrogen receptor α gene.
epigenetics	hsa-mir-29b-1	Atherosclerosis	21266537	cardiovascular system disease	DOID:1936	I70	D050197	108725	HP:0002621	OxLDL up-regulates microRNA-29b, leading to epigenetic modifications of MMP-2/MMP-9 genes: a novel mechanism for cardiovascular diseases.
epigenetics	hsa-mir-29b-2	Atherosclerosis	21266537	cardiovascular system disease	DOID:1936	I70	D050197	108725	HP:0002621	OxLDL up-regulates microRNA-29b, leading to epigenetic modifications of MMP-2/MMP-9 genes: a novel mechanism for cardiovascular diseases.
epigenetics	hsa-mir-10a	Bladder Neoplasms	23867826			C67	D001749	109800	HP:0009725	Analyses in human urothelial cells identify methylation of miR-152, miR-200b and miR-10a genes as candidate bladder cancer biomarkers.
epigenetics	hsa-mir-124	Bladder Neoplasms	23200812			C67	D001749	109800	HP:0009725	Among them, miR-137,miR-124-2, miR-124-3, and miR-9-3 were frequently and tumor-specifically methylated in primary cancers
epigenetics	hsa-mir-137	Bladder Neoplasms	23200812			C67	D001749	109800	HP:0009725	Among them, miR-137,miR-124-2, miR-124-3, and miR-9-3 were frequently and tumor-specifically methylated in primary cancers
epigenetics	hsa-mir-152	Bladder Neoplasms	23867826			C67	D001749	109800	HP:0009725	Analyses in human urothelial cells identify methylation of miR-152, miR-200b and miR-10a genes as candidate bladder cancer biomarkers.
epigenetics	hsa-mir-193a	Bladder Neoplasms	25188512			C67	D001749	109800	HP:0009725	The DNA methylation-regulated miR-193a-3p dictates the multi-chemoresistance of bladder cancer via repression of SRSF2/PLAU/HIC2 expression.
epigenetics	hsa-mir-200b	Bladder Neoplasms	23867826			C67	D001749	109800	HP:0009725	Analyses in human urothelial cells identify methylation of miR-152, miR-200b and miR-10a genes as candidate bladder cancer biomarkers.
epigenetics	hsa-mir-34a	Bladder Neoplasms	24423412			C67	D001749	109800	HP:0009725	Cisplatin-based chemotherapy induced demethylation of miR-34a promoter and increased miR-34a expression, which in turn sensitized MIBC cells to cisplatin and decreased the tumorigenicity and proliferation of cancer cells that by reducing the production of CD44.
epigenetics	hsa-mir-34b	Bladder Neoplasms	27557899			C67	D001749	109800	HP:0009725	MicroRNA epigenetic signatures in human disease.
epigenetics	hsa-mir-9	Bladder Neoplasms	23200812			C67	D001749	109800	HP:0009725	Among them, miR-137,miR-124-2, miR-124-3, and miR-9-3 were frequently and tumor-specifically methylated in primary cancers
epigenetics	hsa-let-7e	Breast Neoplasms	21969366	thoracic disease	DOID:1612	C50	D001943	114480	HP:0100013	Jumonji/Arid1 B (JARID1B) promotes breast tumor cell cycle progression through epigenetic repression of micro RNA let-7e.
epigenetics	hsa-mir-124a-1	Breast Neoplasms	24375250	thoracic disease	DOID:1612	C50	D001943	114480	HP:0100013	Methylation of miR-124a-1, miR-124a-2, and miR-124a-3 genes correlates with aggressive and advanced breast cancer disease.
