category	mir	disease	pmid	root_name	doid	icd10cm	mesh	omim	hpo	description
lncRNA target	hsa-mir-204	Acute Kidney Failure	29669307	urinary system disease	DOID:3021	N17.9	D058186		HP:0001919	Long non-coding RNA NEAT1 plays an important role in sepsis-induced acute kidney injury by targeting miR-204 and modulating the NF-κB pathway
lncRNA target	hsa-let-7c	Adenocarcinoma, Lung	27566568	disease of cellular proliferation	DOID:3910	C78.00	C538231	211980	HP:0030078	the oncogenic function of CCAT1 in docetaxel-resistant LAD cells depended on the sponging of let-7c
lncRNA target	hsa-mir-145	Adenocarcinoma, Lung	28388536	disease of cellular proliferation	DOID:3910	C78.00	C538231	211980	HP:0030078	Long noncoding RNA ROR regulates chemoresistance in docetaxel-resistant lung adenocarcinoma cells via epithelial mesenchymal transition pathway.
lncRNA target	hsa-let-7	Adenocarcinoma, Pancreatic Ductal	28947981	disease of cellular proliferation	DOID:3498	C25.3	D021441	260350		Lin28B, a Lin28 homologue, represses the biogenesis of let-7 microRNAs (miRNAs),  has a role in tumorigenesis, and is considered a potential therapeutic target for various human malignancies
lncRNA target	hsa-mir-193b	Adenocarcinoma, Pancreatic Ductal	26549028	disease of cellular proliferation	DOID:3498	C25.3	D021441	260350		MIR31HG is negatively regulated by miR-193b.
lncRNA target	hsa-mir-17	Atherosclerosis	28676341	cardiovascular system disease	DOID:1936	I70	D050197	108725	HP:0002621	The Circular RNA Interacts with STAT3, Increasing Its Nuclear Translocation and Wound Repair by Modulating Dnmt3a and miR-17 Function.
lncRNA target	hsa-mir-221	Atherosclerosis	23697773	cardiovascular system disease	DOID:1936	I70	D050197	108725	HP:0002621	We further discovered that an Ang II-regulated lncRNA functions as the host transcript for miR-221 and miR-222, 2 microRNAs implicated in cell proliferation. 
lncRNA target	hsa-mir-9	Atherosclerosis	26981838	cardiovascular system disease	DOID:1936	I70	D050197	108725	HP:0002621	HULC regulated  TNF-伪-induced apoptosis through regulation of miR-9 expression.
lncRNA target	hsa-let-7a-1	Breast Neoplasms	22081076	thoracic disease	DOID:1612	C50	D001943	114480	HP:0100013	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
lncRNA target	hsa-let-7a-1	Breast Neoplasms	22808086	thoracic disease	DOID:1612	C50	D001943	114480	HP:0100013	Lin28 Mediates Paclitaxel Resistance by Modulating p21, Rb and Let-7a miRNA in Breast Cancer Cells.
lncRNA target	hsa-let-7a-2	Breast Neoplasms	22081076	thoracic disease	DOID:1612	C50	D001943	114480	HP:0100013	LIN28: A regulator of tumor-suppressing activity of let-7 microRNA in human breast cancer.
