category	mir	disease	pmid	root_name	doid	icd10cm	mesh	omim	hpo	description
tissue_expression_down	hsa-mir-150	Acquired Immunodeficiency Syndrome	22205749	disease by infectious agent	DOID:635	B20	D000163	609423		we used microarray expression analysis to identify miRNAs miR-27b, miR-29b, miR-150, and miR-223 as being significantly downregulated upon CD4(+) T cell activation
tissue_expression_down	hsa-mir-223	Acquired Immunodeficiency Syndrome	22205749	disease by infectious agent	DOID:635	B20	D000163	609423		we used microarray expression analysis to identify miRNAs miR-27b, miR-29b, miR-150, and miR-223 as being significantly downregulated upon CD4(+) T cell activation
tissue_expression_down	hsa-mir-27b	Acquired Immunodeficiency Syndrome	22205749	disease by infectious agent	DOID:635	B20	D000163	609423		we used microarray expression analysis to identify miRNAs miR-27b, miR-29b, miR-150, and miR-223 as being significantly downregulated upon CD4(+) T cell activation
tissue_expression_down	hsa-mir-29b	Acquired Immunodeficiency Syndrome	22205749	disease by infectious agent	DOID:635	B20	D000163	609423		we used microarray expression analysis to identify miRNAs miR-27b, miR-29b, miR-150, and miR-223 as being significantly downregulated upon CD4(+) T cell activation
tissue_expression_down	hsa-mir-126	Acute Myocardial Infarction	27376405	cardiovascular system disease	DOID:9408	I21	D056989	608446	HP:0001658	Down-regulated miR-126 and up-regulated VEGF-A were also observed in MI models
tissue_expression_down	hsa-mir-499a	Acute Myocardial Infarction	26046358	cardiovascular system disease	DOID:9408	I21	D056989	608446	HP:0001658	This study highlights the stability of miRNAs after death and long-term fixation, validating their use as reliable biomarkers for AMI during postmortem examination.
tissue_expression_down	hsa-mir-24	Acute Respiratory Distress Syndrome	25070658	respiratory system disease	DOID:11394	J80	D012128			The down-regulated miRNAs included miR-24, miR-26a, miR-126, and Let-7a, b, c, f. The up-regulated miRNAs were composed of miR-344, miR-346, miR-99a, miR-127, miR-128b, miR-135b, and miR-30a/b.
tissue_expression_down	hsa-mir-1268	Adenocarcinoma, Colon	27658891	disease of cellular proliferation	DOID:234	C18			HP:0040276	the top most upregulated and downregulated miRNAs in HPNM included miR-145, -143, -107, -194, and -26a (upregulated), and miR-663, -1268, -320b, -1275, and -326b (downregulated)
tissue_expression_down	hsa-mir-1275	Adenocarcinoma, Colon	27658891	disease of cellular proliferation	DOID:234	C18			HP:0040276	the top most upregulated and downregulated miRNAs in HPNM included miR-145, -143, -107, -194, and -26a (upregulated), and miR-663, -1268, -320b, -1275, and -326b (downregulated)
tissue_expression_down	hsa-mir-320b	Adenocarcinoma, Colon	27658891	disease of cellular proliferation	DOID:234	C18			HP:0040276	the top most upregulated and downregulated miRNAs in HPNM included miR-145, -143, -107, -194, and -26a (upregulated), and miR-663, -1268, -320b, -1275, and -326b (downregulated)
tissue_expression_down	hsa-mir-326b	Adenocarcinoma, Colon	27658891	disease of cellular proliferation	DOID:234	C18			HP:0040276	the top most upregulated and downregulated miRNAs in HPNM included miR-145, -143, -107, -194, and -26a (upregulated), and miR-663, -1268, -320b, -1275, and -326b (downregulated)
tissue_expression_down	hsa-mir-663	Adenocarcinoma, Colon	27658891	disease of cellular proliferation	DOID:234	C18			HP:0040276	the top most upregulated and downregulated miRNAs in HPNM included miR-145, -143, -107, -194, and -26a (upregulated), and miR-663, -1268, -320b, -1275, and -325b (downregulated)
tissue_expression_down	hsa-mir-10b	Adenocarcinoma, Endometrial	19891660	reproductive system disease	DOID:2870	C54.1	D018269	608089	HP:0012114	down-regulated
tissue_expression_down	hsa-mir-152	Adenocarcinoma, Endometrial	19891660	reproductive system disease	DOID:2870	C54.1	D018269	608089	HP:0012114	down-regulated
tissue_expression_down	hsa-mir-193b	Adenocarcinoma, Endometrial	19077565	reproductive system disease	DOID:2870	C54.1	D018269	608089	HP:0012114	miR-193b: downregulated
tissue_expression_down	hsa-mir-204	Adenocarcinoma, Endometrial	19077565	reproductive system disease	DOID:2870	C54.1	D018269	608089	HP:0012114	miR-204: downregulated
tissue_expression_down	hsa-mir-410	Adenocarcinoma, Endometrial	26842619	reproductive system disease	DOID:2870	C54.1	D018269	608089	HP:0012114	a lower expression of microRNA-410 in the  cancer zone compared with the healthy zone
tissue_expression_down	hsa-mir-99b	Adenocarcinoma, Endometrial	19077565	reproductive system disease	DOID:2870	C54.1	D018269	608089	HP:0012114	miR-99b: downregulated
tissue_expression_down	hsa-mir-17	Adenocarcinoma, Esophageal	28002789	disease of cellular proliferation	DOID:4914		C562730	133239		MicroRNA-17 is downregulated in esophageal adenocarcinoma cancer stem-like cells and promotes a radioresistant phenotype.
