Both jobs started. Polling every 60s...
Job1 (PID: 1): baseline, no_cl, no_hgcn
Job2 (PID: 3): no_avf, no_hgt, no_dv
[00:01:00] Job1=Running, Job2=Running
[00:02:01] Job1=Running, Job2=Running
[00:03:01] Job1=Running, Job2=Running
[00:04:01] Job1=Running, Job2=Running
[00:05:01] Job1=Running, Job2=Running
[00:06:01] Job1=Running, Job2=Running
[00:07:01] Job1=Running, Job2=Running
[00:08:01] Job1=Running, Job2=Running
[00:09:01] Job1=Running, Job2=Running
[00:10:01] Job1=Running, Job2=Running
[00:11:01] Job1=Running, Job2=Running
[00:12:01] Job1=Running, Job2=Running
[00:13:01] Job1=Running, Job2=Running
[00:14:01] Job1=Running, Job2=Running
[00:15:01] Job1=Running, Job2=Running
[00:16:01] Job1=Running, Job2=Running
[00:17:01] Job1=Running, Job2=Running
[00:18:01] Job1=Running, Job2=Running
[00:19:01] Job1=Running, Job2=Running
[00:20:01] Job1=Running, Job2=Running
[00:21:01] Job1=Running, Job2=Running
[00:22:01] Job1=Running, Job2=Running
[00:23:01] Job1=Running, Job2=Running
[00:24:01] Job1=Running, Job2=Running
[00:25:01] Job1=Running, Job2=Running
[00:26:01] Job1=Running, Job2=Running
[00:27:01] Job1=Running, Job2=Running
[00:28:01] Job1=Running, Job2=Running
[00:29:01] Job1=Running, Job2=Running
[00:30:01] Job1=Running, Job2=Running
[00:31:01] Job1=Running, Job2=Running
[00:32:01] Job1=Running, Job2=Running
[00:33:01] Job1=Running, Job2=Running
[00:34:01] Job1=Running, Job2=Running
[00:35:01] Job1=Running, Job2=Running
[00:36:01] Job1=Running, Job2=Running
[00:37:01] Job1=Running, Job2=Running
[00:38:01] Job1=Running, Job2=Running
[00:39:01] Job1=Running, Job2=Running
[00:40:01] Job1=Running, Job2=Running
[00:41:01] Job1=Running, Job2=Running
[00:42:01] Job1=Running, Job2=Running
[00:43:01] Job1=Running, Job2=Running
[00:44:01] Job1=Running, Job2=Running
[00:45:01] Job1=Running, Job2=Running
[00:46:01] Job1=Running, Job2=Running
[00:47:01] Job1=Running, Job2=Running
[00:48:01] Job1=Running, Job2=Running
[00:49:01] Job1=Running, Job2=Running
[00:50:01] Job1=Running, Job2=Running
[00:51:01] Job1=Running, Job2=Running
[00:52:01] Job1=Running, Job2=Running
[00:53:01] Job1=Running, Job2=Running
[00:54:01] Job1=Running, Job2=Running
[00:55:01] Job1=Running, Job2=Running
[00:56:01] Job1=Running, Job2=Running
[00:57:01] Job1=Running, Job2=Running
[00:58:01] Job1=Running, Job2=Running
[00:59:01] Job1=Running, Job2=Running
[01:00:01] Job1=Running, Job2=Running
[01:01:01] Job1=Running, Job2=Running
[01:02:01] Job1=Running, Job2=Running
[01:03:01] Job1=Running, Job2=Running
[01:04:01] Job1=Running, Job2=Running
[01:05:01] Job1=Running, Job2=Running
[01:06:01] Job1=Running, Job2=Running
[01:07:01] Job1=Running, Job2=Running
[01:08:01] Job1=Running, Job2=Running
[01:09:01] Job1=Running, Job2=Running
[01:10:01] Job1=Running, Job2=Running
[01:11:02] Job1=Running, Job2=Running
[01:12:02] Job1=Running, Job2=Running
