rank,miRNA_name,predicted_type,score,in_paper_top15,paper_type,type_match
1,hsa-mir-34c,epigenetics,0.9363141655921936,False,,False
2,hsa-mir-34b,epigenetics,0.9265376329421997,False,,False
3,hsa-mir-181c,epigenetics,0.9150106310844421,False,,False
4,hsa-mir-124,epigenetics,0.9145224690437317,False,,False
5,hsa-mir-18b,epigenetics,0.9002234935760498,False,,False
6,hsa-mir-132,epigenetics,0.8979487419128418,False,,False
7,hsa-mir-152,epigenetics,0.8821961283683777,False,,False
8,hsa-mir-663a,epigenetics,0.8753955364227295,False,,False
9,hsa-mir-410,epigenetics,0.8686031699180603,False,,False
10,hsa-mir-615,epigenetics,0.8651251792907715,False,,False
11,hsa-mir-95,epigenetics,0.8610378503799438,False,,False
12,hsa-mir-139,epigenetics,0.8597576022148132,False,,False
13,hsa-mir-148a,epigenetics,0.8563306927680969,False,,False
14,hsa-mir-9,epigenetics,0.8558259606361389,False,,False
15,hsa-mir-369,epigenetics,0.8545767068862915,False,,False
