mi,di,type
0,26,4
0,31,2
0,31,3
0,31,4
0,33,4
0,46,3
0,46,4
0,49,0
0,49,4
0,53,2
0,66,4
0,75,0
0,76,0
0,76,3
0,76,4
0,86,4
0,92,3
0,93,0
0,97,0
0,98,3
0,102,4
0,103,3
0,107,4
0,113,4
0,114,4
0,126,0
0,131,3
0,143,4
0,169,2
0,169,0
0,169,3
0,171,2
0,175,2
0,181,4
0,186,3
0,199,4
0,200,2
0,205,4
0,206,0
0,206,3
0,206,4
0,217,2
0,217,0
0,217,4
0,218,4
0,222,4
0,224,4
0,232,3
0,244,4
0,250,4
1,26,4
1,31,2
1,31,3
1,31,4
1,33,4
1,46,3
1,46,4
1,49,0
1,49,4
1,53,2
1,66,4
1,75,0
1,76,0
1,76,3
1,76,4
1,86,4
1,92,3
1,93,0
1,97,0
1,98,3
1,102,4
1,103,3
1,107,4
1,113,4
1,114,4
1,126,0
1,131,3
1,143,4
1,169,2
1,169,0
1,169,3
1,171,2
1,175,2
1,181,4
1,186,3
1,199,4
1,200,2
1,205,4
1,206,0
1,206,3
1,206,4
1,217,0
1,217,4
1,218,4
1,222,4
1,224,4
1,244,4
1,250,4
2,26,4
2,31,2
2,31,3
2,31,4
2,33,4
2,46,3
2,46,4
2,49,0
2,49,4
2,53,2
2,66,4
2,75,0
2,76,0
2,76,3
2,76,4
2,86,4
2,92,3
2,93,0
2,97,0
2,98,3
2,102,4
2,103,3
2,107,4
2,113,4
2,126,0
2,131,3
2,143,4
2,155,1
2,157,2
2,169,2
2,169,0
2,169,3
2,171,2
2,175,2
2,181,4
2,186,3
2,199,4
2,200,2
2,205,4
2,206,1
2,206,0
2,206,3
2,206,4
2,217,2
2,217,0
2,217,4
2,218,4
2,222,4
2,224,4
2,244,4
2,250,4
3,14,2
3,21,2
3,31,2
3,31,3
3,31,4
3,33,4
3,46,3
3,49,0
3,49,3
3,49,4
3,51,4
3,53,2
3,53,4
3,75,0
3,80,2
3,80,4
3,86,4
3,91,4
3,92,3
3,93,0
3,96,3
3,97,4
3,102,0
3,102,3
3,108,0
3,113,3
3,113,4
3,114,2
3,114,4
3,124,3
3,126,0
3,131,3
3,140,3
3,143,4
3,149,2
3,152,3
3,155,2
3,160,2
3,160,0
3,167,1
3,169,2
3,169,0
3,169,3
3,169,4
3,181,4
3,183,0
3,186,3
3,186,4
3,190,2
3,200,2
3,202,2
3,203,0
3,205,4
3,206,0
3,206,3
3,206,4
3,208,3
3,211,2
3,212,4
3,217,2
3,217,4
3,218,3
3,218,4
3,225,4
3,226,4
3,229,4
3,230,4
3,232,2
3,232,3
3,232,4
3,239,3
3,241,3
3,252,2
3,256,4
4,6,4
4,21,3
4,28,3
4,28,4
4,31,2
4,31,3
4,31,4
4,33,4
4,35,4
4,46,1
4,46,3
4,46,4
4,49,3
4,49,4
4,50,4
4,53,2
4,53,4
4,57,1
4,73,4
4,75,0
4,75,4
4,76,3
4,86,4
4,87,2
4,87,4
4,92,3
4,93,0
4,94,2
4,97,4
4,107,3
4,113,3
4,113,4
4,114,0
4,114,4
4,117,2
4,117,0
4,126,0
4,131,3
4,143,4
4,145,0
4,148,3
4,157,2
4,169,2
4,169,0
4,169,3
4,169,4
4,174,4
4,181,4
4,186,3
4,190,2
4,192,2
4,200,2
4,205,4
4,206,3
4,206,4
4,217,0
4,217,4
4,218,4
4,222,4
4,225,4
4,232,2
4,232,0
4,232,3
4,232,4
4,239,3
4,241,4
5,7,3
5,13,2
5,13,3
5,19,4
5,31,3
5,31,4
5,33,4
5,46,3
5,49,0
5,49,4
5,53,2
5,53,0
5,53,3
5,75,0
5,80,3
5,83,3
5,86,4
5,92,3
5,93,0
5,96,2
5,107,2
5,107,4
5,113,3
5,113,4
5,114,4
5,118,2
5,121,4
5,126,0
5,131,3
5,143,4
5,144,4
5,157,2
5,169,2
5,169,0
5,169,3
5,169,4
5,181,4
5,183,0
5,186,2
5,186,3
5,199,4
5,200,2
5,205,4
5,206,3
5,206,4
5,217,3
5,217,4
5,218,2
5,218,3
5,218,4
5,219,3
5,225,4
5,232,4
5,239,3
5,254,2
6,8,4
6,11,4
6,19,4
6,31,1
6,31,3
6,31,4
6,46,2
6,46,0
6,46,3
6,49,4
6,53,2
6,74,4
6,75,0
6,76,4
6,80,0
6,80,3
6,86,4
6,92,3
6,93,0
6,113,3
6,113,4
6,114,4
6,124,2
6,126,0
6,131,3
6,135,4
6,140,3
6,143,4
6,169,2
6,169,0
6,169,3
6,169,4
6,171,2
6,181,4
6,186,3
6,192,2
6,200,2
6,205,4
6,206,3
6,206,4
6,217,2
6,217,0
6,217,4
6,225,4
6,226,4
6,239,3
6,241,2
6,253,2
6,253,4
6,254,2
6,256,2
7,31,3
7,31,4
7,46,3
7,53,2
7,75,0
7,80,0
7,86,4
7,92,3
7,93,0
7,102,3
7,102,4
7,113,4
7,114,4
7,126,0
7,131,3
7,143,4
7,169,2
7,169,0
7,169,3
7,181,4
7,185,3
7,186,3
7,199,4
7,200,2
7,205,4
7,206,3
7,206,4
7,217,3
7,217,4
7,218,4
8,27,4
8,31,3
8,31,4
8,46,3
8,53,2
8,75,0
8,80,0
8,86,4
8,92,3
8,93,0
8,102,3
8,102,4
8,113,4
8,114,4
8,126,0
8,131,3
8,143,4
8,169,2
8,169,0
8,169,3
8,181,4
8,186,3
8,199,4
8,200,2
8,205,4
8,206,3
8,206,4
8,217,3
8,217,4
8,218,4
9,13,2
9,13,3
9,13,4
9,21,3
9,31,2
9,31,3
9,31,4
9,46,0
9,46,3
9,46,4
9,49,0
9,49,4
9,53,2
9,75,2
9,75,0
9,76,2
9,76,4
9,86,4
9,92,3
9,93,0
9,102,3
9,102,4
9,103,4
9,107,3
9,108,2
9,113,3
9,113,4
9,126,0
9,131,3
9,142,4
9,143,4
9,169,2
9,169,0
9,169,3
9,169,4
9,181,4
9,186,0
9,186,3
9,191,2
9,200,2
9,202,2
9,205,4
9,206,3
9,206,4
9,215,2
9,216,0
9,217,4
9,219,4
9,225,4
9,232,4
9,235,3
9,236,4
9,239,3
9,260,2
10,27,4
10,31,3
10,31,4
10,35,4
10,36,2
10,46,0
10,46,3
10,49,4
10,53,2
10,53,0
10,58,4
10,63,4
10,75,0
10,76,2
10,78,3
10,86,4
10,92,3
10,93,0
10,102,3
10,113,3
10,113,4
10,114,2
10,119,4
10,122,4
10,126,0
10,128,3
10,131,3
10,131,4
10,143,4
10,156,2
10,169,2
10,169,0
10,169,3
10,169,4
10,181,4
10,186,2
10,186,3
10,192,2
10,200,2
10,205,4
10,206,3
10,206,4
10,217,3
10,217,4
10,218,3
10,218,4
10,225,4
10,230,4
10,239,3
10,241,4
11,16,4
11,31,0
11,31,4
11,33,4
11,46,0
11,46,3
11,56,3
11,59,2
11,73,3
11,76,1
11,76,4
11,78,2
11,78,4
11,92,1
11,93,4
11,102,4
11,103,1
11,113,3
11,113,4
11,114,4
11,118,4
11,124,2
11,126,2
11,126,3
11,126,4
11,131,4
11,147,3
11,147,4
11,169,3
11,169,4
11,186,0
11,194,2
11,196,4
11,200,4
11,202,2
11,202,4
11,204,0
11,204,4
11,205,3
11,217,0
11,219,2
11,232,3
11,232,4
11,239,2
11,242,3
11,242,4
11,256,3
11,256,4
11,261,3
11,261,4
12,16,4
12,31,4
12,33,4
12,46,0
12,46,3
12,56,3
12,59,2
12,69,0
12,73,3
12,76,4
12,78,2
12,78,4
12,93,4
12,102,4
