mi,di,type
0,0,0
0,2,0
0,3,0
0,7,0
0,8,0
0,27,0
0,33,0
0,36,0
0,45,0
0,47,0
0,93,0
0,131,0
0,146,0
0,150,0
0,186,0
1,2,0
1,8,0
1,35,0
1,64,0
1,69,0
1,93,0
1,96,0
1,102,0
2,1,0
2,2,0
2,3,0
2,45,0
2,105,0
2,147,0
3,2,0
3,4,0
3,5,0
3,8,0
3,13,0
3,19,0
3,23,0
3,27,0
3,35,0
3,45,0
4,0,0
4,2,0
4,5,0
4,6,0
4,24,0
4,35,0
4,51,0
4,159,0
4,188,0
5,13,0
5,15,0
5,33,0
5,35,0
5,40,0
5,45,0
5,47,0
5,78,0
5,107,0
5,108,0
5,132,0
5,170,0
6,78,0
6,152,0
7,5,0
7,30,0
7,46,0
7,89,0
7,139,0
8,2,0
8,4,0
8,8,0
8,13,0
8,15,0
8,42,0
8,45,0
8,150,0
9,8,0
9,35,0
9,45,0
10,15,0
11,8,0
11,10,0
11,11,0
11,23,0
11,30,0
11,31,0
11,45,0
11,46,0
11,48,0
11,61,0
11,130,0
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,8,0
12,13,0
12,27,0
12,36,0
12,39,0
12,51,0
12,105,0
12,131,0
12,132,0
12,157,0
12,184,0
13,1,0
13,4,0
13,5,0
13,13,0
13,34,0
13,48,0
13,88,0
14,1,0
14,4,0
14,5,0
14,13,0
14,34,0
14,48,0
14,88,0
15,1,0
15,4,0
15,5,0
15,13,0
15,34,0
15,48,0
15,88,0
16,1,0
16,4,0
16,34,0
16,48,0
16,64,0
16,184,0
17,1,0
17,4,0
17,13,0
17,31,0
17,34,0
17,45,0
17,48,0
17,79,0
17,122,0
18,1,0
18,4,0
18,18,0
18,34,0
18,48,0
18,184,0
19,1,0
19,4,0
19,8,0
19,13,0
19,34,0
19,48,0
19,56,0
20,1,0
20,4,0
20,34,0
20,48,0
20,56,0
21,1,0
21,4,0
21,34,0
21,48,0
21,56,0
22,1,0
22,4,0
22,8,0
22,27,0
22,34,0
22,48,0
22,105,0
23,1,0
23,4,0
23,8,0
23,18,0
23,34,0
23,48,0
26,42,0
28,8,0
28,12,0
28,13,0
28,15,0
28,27,0
28,28,0
28,34,0
28,35,0
28,40,0
28,58,0
28,61,0
28,62,0
28,69,0
28,72,0
28,90,0
28,102,0
28,113,0
28,117,0
28,131,0
28,184,0
28,188,0
29,0,0
29,5,0
29,8,0
29,64,0
29,118,0
30,0,0
30,3,0
30,7,0
30,13,0
30,36,0
30,45,0
30,47,0
30,131,0
30,150,0
30,186,0
31,0,0
31,47,0
32,1,0
32,2,0
32,8,0
32,13,0
32,19,0
32,54,0
32,107,0
32,181,0
34,2,0
34,8,0
34,13,0
34,27,0
35,8,0
36,63,0
37,13,0
37,15,0
37,31,0
37,62,0
38,10,0
38,140,0
39,2,0
40,2,0
40,13,0
40,27,0
41,2,0
41,89,0
42,2,0
42,27,0
42,89,0
43,5,0
43,11,0
43,139,0
44,3,0
44,8,0
44,23,0
44,24,0
44,31,0
44,46,0
44,62,0
44,63,0
44,64,0
44,67,0
44,105,0
44,131,0
44,146,0
45,2,0
45,8,0
45,10,0
45,13,0
45,27,0
45,45,0
45,107,0
45,131,0
45,159,0
45,195,0
45,198,0
48,64,0
48,93,0
49,8,0
50,2,0
50,8,0
50,28,0
50,93,0
50,105,0
50,124,0
50,184,0
51,2,0
51,8,0
51,13,0
51,27,0
52,31,0
53,2,0
53,8,0
53,10,0
53,30,0
53,45,0
53,63,0
53,131,0
53,137,0
54,13,0
54,27,0
54,64,0
54,82,0
54,105,0
54,107,0
54,127,0
55,5,0
55,64,0
55,93,0
55,107,0
55,195,0
56,2,0
56,8,0
56,93,0
56,174,0
57,1,0
57,2,0
57,4,0
57,27,0
57,89,0
57,107,0
58,1,0
58,2,0
58,4,0
58,8,0
58,13,0
58,27,0
58,42,0
58,45,0
58,96,0
58,131,0
58,150,0
59,1,0
59,2,0
59,4,0
59,5,0
59,8,0
59,13,0
59,27,0
59,42,0
59,47,0
59,64,0
59,105,0
